Year,CO2 emissions (metric tons per capita)
1990,3.3247192357500004
2000,4.2492254461439405
2009,4.454462968280305
2010,4.570282741465908
2011,4.533581662962122
2012,4.705531804321971
2013,4.623131305079546
2014,4.616374873840911
