Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Switzerland,CHE,6.345085168,5.435484985,5.377973641,4.983428945,4.672038363,4.723574287,4.972835876,4.311562994,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Syrian Arab Republic,SYR,3.001677865,3.11019717,2.993132594,2.930971337,2.727578225,2.190427547,1.839503237,1.598898459,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Tajikistan,TJK,..,0.359844954,0.328286153,0.33303078,0.300737249,0.366926485,0.425539775,0.620466725,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Tanzania,TZA,0.089011832,0.077571471,0.132511808,0.154161892,0.170126457,0.194470623,0.220730008,0.221347372,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Thailand,THA,1.604831986,2.879232989,4.001129215,4.19478194,4.12138946,4.371765415,4.403807563,4.621860032,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Timor-Leste,TLS,..,..,0.20819563,0.211508565,0.217131247,0.253604896,0.371540554,0.387014002,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Togo,TGO,0.204317206,0.273713591,0.439659634,0.40600638,0.368935463,0.362450984,0.377480424,0.362696892,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Tonga,TON,0.809296607,0.972064191,1.274197907,1.126823319,0.981822007,1.013263332,1.079266672,1.143965892,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Trinidad and Tobago,TTO,13.93393977,18.80084212,33.96978628,36.09293276,35.16208791,33.85500019,34.52003192,34.16324263,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Tunisia,TUN,1.611506515,2.054068084,2.355950493,2.59965793,2.417981861,2.480445624,2.511904245,2.587059584,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Turkey,TUR,2.705007348,3.417945943,3.894702792,4.120214807,4.370560958,4.419487888,4.285300843,4.491479026,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Turkmenistan,TKM,..,8.312221014,10.05213231,11.26148537,12.07317521,12.31489744,12.43613272,12.51729534,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Turks and Caicos Islands,TCA,2.539473684,3.691675939,5.940915854,6.15228754,6.009391447,6.105824674,5.980971366,6.086487448,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Tuvalu,TUV,0.81461735,0.778556263,1.053634709,0.696420093,0.690063982,1.025734266,1.016822257,1.008525853,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Uganda,UGA,0.043527327,0.059491397,0.103166875,0.1155833,0.121524015,0.112110416,0.129674909,0.134656001,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Ukraine,UKR,..,6.525618775,5.647810472,6.641349685,6.265962311,6.487602806,5.976641848,5.020747064,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,United Arab Emirates,ARE,27.95924521,35.67825923,21.90855608,19.44369027,19.07648878,19.81768422,18.95416379,23.30202251,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,United Kingdom,GBR,9.710881678,9.199549233,7.574622131,7.857836486,7.079297626,7.355898277,7.145844359,6.49744049,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,United States,USA,19.32275118,20.17875051,17.15773779,17.44286171,16.97695728,16.3104711,16.32347679,16.50283724,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Uruguay,URY,1.284044091,1.597638536,2.396863881,1.893043387,2.292941862,2.559619604,2.226235877,1.973150822,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Uzbekistan,UZB,..,4.942262235,3.858171993,3.647048882,3.874800916,3.889733195,3.417442433,3.420722746,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Vanuatu,VUT,0.450141168,0.455742099,0.52434517,0.512118327,0.545795073,0.459328848,0.42009228,0.594993239,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Venezuela, RB",VEN,6.150574395,6.224289682,6.289128331,6.513376914,6.00145924,6.649233468,6.066461313,6.025697582,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Vietnam,VNM,0.313855299,0.668171732,1.469012678,1.613359582,1.701422283,1.572337982,1.609111593,1.80356575,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,West Bank and Gaza,PSE,..,0.271057676,0.564577775,0.534014834,0.572406877,0.543675272,0.584854657,..,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Yemen, Rep.",YEM,0.795928337,0.819163987,1.069059495,0.992601744,0.810900295,0.749446818,0.99688497,0.864834535,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Zambia,ZMB,0.304698133,0.173056761,0.186396423,0.194337299,0.205910778,0.249456851,0.26111253,0.288271141,..,..,..,..
